Longitude,Latitude,Depth (km),Length,Width,Strike,Dip,Rake,Slip,UnitSrc
122.04,1.43,30.01,10.37432,14.65754,96.17,21,84.482,9.1,acsza31
122.13,1.42,30.01,10.61455,14.66596,96.17,21,84.482,9.1,acsza31
122.22,1.41,30.01,10.85478,14.67439,96.17,21,84.482,9.1,acsza31
122.31,1.4,30.01,10.9591,15.31059,100.37,21,80.282,9.1,acsza31
122.4,1.38,30.01,11.08226,15.67809,103.39,21,77.262,9.1,acsza31
122.49,1.36,30.01,11.289,15.51889,103.39,21,77.262,9.1,acsza31
122.58,1.34,30.01,11.49574,15.35969,103.39,21,77.262,9.1,acsza31
122.67,1.32,30.01,11.70247,15.20049,103.39,21,77.262,9.1,acsza31
122.76,1.3,30.01,11.90921,15.04129,103.39,21,77.262,9.1,acsza31
122.85,1.28,30.01,12.11595,14.88208,103.39,21,77.262,9.1,acsza31
122.93,1.26,30.01,12.32268,14.72288,103.39,21,77.262,9.1,acsza31
123.02,1.24,30.01,12.52942,14.56368,103.39,21,77.262,9.1,acsza31
123.11,1.22,30.01,12.75993,14.3339,102.87,21,77.782,9.1,acsza31
123.2,1.2,30.01,12.92557,14.48208,104.03,21,76.622,9.1,acsza31
123.29,1.17,30.01,13.10116,14.7173,105.41,21,75.242,9.1,acsza31
123.38,1.15,30.01,13.34696,14.71343,105.41,21,75.242,9.1,acsza31
123.46,1.12,30.01,13.59276,14.70955,105.41,21,75.242,9.1,acsza31
123.55,1.1,30.01,13.79802,14.82425,106.28,21,74.372,9.1,acsza31
123.64,1.07,30.01,14.0098,14.86335,106.83,21,73.822,9.1,acsza31
123.73,1.05,30.01,14.25508,14.7515,106.57,21,74.082,9.1,acsza31
123.81,1.02,30.01,14.48348,14.68542,106.57,21,74.082,9.1,acsza31
123.9,0.99,30.01,14.71189,14.61933,106.57,21,74.082,9.1,acsza31
119.71,0.94,35.44,10.13367,21.55688,23.67,21,156.982,9.1,acsza31
119.75,1.02,35.44,10.21513,21.55313,25.53,21,155.122,9.1,acsza31
119.8,1.08,35.44,12.8884,19.15224,48.8,21,131.852,9.1,acsza31
119.87,1.14,35.44,13.88426,18.16155,57.6,21,123.052,9.1,acsza31
119.95,1.18,35.44,13.86777,18.05588,59.62,21,121.032,9.1,acsza31
120.02,1.23,35.44,13.66061,18.1721,59.62,21,121.032,9.1,acsza31
120.1,1.26,35.44,14.025,16.43852,70.95,21,109.702,9.1,acsza31
120.19,1.29,35.44,14.41546,14.56964,81.86,21,98.792,9.1,acsza31
120.28,1.3,35.44,14.17337,14.55621,81.86,21,98.792,9.1,acsza31
120.36,1.31,35.44,13.94772,14.26902,83.44,21,97.212,9.1,acsza31
120.45,1.32,35.44,13.70426,14.1188,83.83,21,96.822,9.1,acsza31
120.54,1.33,35.44,13.45532,14.01985,83.83,21,96.822,9.1,acsza31
120.63,1.34,35.44,13.20638,13.92089,83.83,21,96.822,9.1,acsza31
120.72,1.35,35.44,12.89218,14.44568,80.2,21,100.452,9.1,acsza31
120.8,1.37,35.44,12.63982,14.74327,78.8,21,101.852,9.1,acsza31
120.89,1.38,35.44,12.48278,14.1202,83.07,21,97.582,9.1,acsza31
120.98,1.39,35.44,12.29609,14.00318,85.15,21,95.502,9.1,acsza31
121.07,1.39,35.44,12.12509,14.1653,95.33,21,85.322,9.1,acsza31
121.16,1.38,35.44,11.90517,13.9826,95.33,21,85.322,9.1,acsza31
121.24,1.38,35.44,11.68525,13.79989,95.33,21,85.322,9.1,acsza31
121.33,1.37,35.44,11.43302,14.065,97.55,21,83.102,9.1,acsza31
121.42,1.35,35.44,11.19515,14.13102,98.46,21,82.192,9.1,acsza31
121.51,1.34,35.44,11.00911,13.43289,93.8,21,86.852,9.1,acsza31
121.6,1.34,35.44,10.77969,13.38534,92.58,21,88.072,9.1,acsza31
121.69,1.33,35.44,10.53629,13.54731,92.58,21,88.072,9.1,acsza31
121.77,1.33,35.44,10.29133,13.7217,92.65,21,88.002,9.1,acsza31
121.86,1.32,35.44,10.04553,13.90274,92.73,21,87.922,9.1,acsza31
121.95,1.32,35.44,9.97176,14.1967,93.72,21,86.932,9.1,acsza31
122.04,1.31,35.44,10.1341,14.66596,96.37,21,84.282,9.1,acsza31
122.13,1.3,35.44,10.37432,14.67439,96.37,21,84.282,9.1,acsza31
122.22,1.29,35.44,10.61455,14.68281,96.37,21,84.282,9.1,acsza31
122.3,1.28,35.44,10.73991,15.21248,100.04,21,80.612,9.1,acsza31
122.39,1.26,35.44,10.87553,15.51889,102.77,21,77.882,9.1,acsza31
122.48,1.24,35.44,11.08226,15.35969,102.77,21,77.882,9.1,acsza31
122.57,1.22,35.44,11.289,15.20049,102.77,21,77.882,9.1,acsza31
122.65,1.2,35.44,11.49574,15.04129,102.77,21,77.882,9.1,acsza31
